2022-07-05 22:39:32.697 +01:00 [INF] [ThreadId:1] NBomber '2.1.5' Started a new session: '2022-07-05_21.39.60_session_de35db7'.
2022-07-05 22:39:32.811 +01:00 [INF] [ThreadId:1] NBomber started as single node.
2022-07-05 22:39:32.895 +01:00 [INF] [ThreadId:4] Plugins: no plugins were loaded.
2022-07-05 22:39:32.896 +01:00 [INF] [ThreadId:4] Reporting sinks: no reporting sinks were loaded.
2022-07-05 22:39:32.896 +01:00 [INF] [ThreadId:4] Starting init...
2022-07-05 22:39:32.912 +01:00 [INF] [ThreadId:4] Target scenarios: 'simple_http'.
2022-07-05 22:39:32.957 +01:00 [INF] [ThreadId:4] Start init client pool: 'nbomber_http_factory.simple_http'.
2022-07-05 22:39:33.987 +01:00 [INF] [ThreadId:4] Init finished.
2022-07-05 22:39:33.992 +01:00 [INF] [ThreadId:6] Starting warm up...
2022-07-05 22:39:35.177 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/9445cec8-3da6-421e-85b4-5a487e94cea1/CreateNewList
2022-07-05 22:39:36.026 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/42f59fa6-311a-4851-9e59-6dd2c89523ed/CreateNewList
2022-07-05 22:39:37.034 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/c201019d-7402-460c-9697-99b07f9a4b34/CreateNewList
2022-07-05 22:39:38.024 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/0588b04d-e22a-4d69-8b70-2f3124c9b060/CreateNewList
2022-07-05 22:39:39.033 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/9602b029-6de0-4ae5-86f2-a2387f3b134b/CreateNewList
2022-07-05 22:39:40.028 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/1968cce9-331f-4049-a942-bc0c4f5e974c/CreateNewList
2022-07-05 22:39:41.030 +01:00 [INF] [ThreadId:6] Starting bombing...
2022-07-05 22:39:42.047 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/5db2400e-f8c5-42a1-8c80-650ba19e193e/CreateNewList
2022-07-05 22:39:43.040 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/9771a947-c23a-4156-b02a-e822bceeaeb2/CreateNewList
2022-07-05 22:39:44.050 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/dadf1c81-55b4-4dd3-bab9-82a8575b10c8/CreateNewList
2022-07-05 22:39:45.041 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/99524fa2-b823-4c0c-bffa-ee74ace0a604/CreateNewList
2022-07-05 22:39:46.047 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/26865aad-274e-44df-a6b0-20f22c783829/CreateNewList
2022-07-05 22:39:47.037 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/6076fe7d-3d32-49ea-9dd1-2896ec14e973/CreateNewList
2022-07-05 22:39:48.046 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/c3b58c6c-27b3-4a8f-8fae-1eb072c83c9c/CreateNewList
2022-07-05 22:39:48.046 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/1928c3e2-71a7-4f77-ad81-5d3a048d3711/CreateNewList
2022-07-05 22:39:48.046 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/da3609fa-e910-4c32-8f77-a8402297abfb/CreateNewList
2022-07-05 22:39:48.046 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/86cbf402-e9ab-45b3-807a-358f07071bf8/CreateNewList
2022-07-05 22:39:48.046 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/143cc238-1210-4939-8ae6-2b52fd2cd2a4/CreateNewList
2022-07-05 22:39:49.037 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/763216e8-fb78-4ba3-a704-44b79dc9c8e1/CreateNewList
2022-07-05 22:39:49.038 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/88a51c11-edc6-4f60-97ca-3d13e457afc0/CreateNewList
2022-07-05 22:39:49.038 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/bbaf2b8a-eb8d-4652-9195-bbe8a24a22d2/CreateNewList
2022-07-05 22:39:49.038 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/bc5d4a5c-b735-4e5f-a308-dfd03c60238a/CreateNewList
2022-07-05 22:39:49.039 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/37ddab79-18d5-4b53-b3c3-352a904dffaa/CreateNewList
2022-07-05 22:39:50.060 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/6da9ae2b-4b11-4827-8a9f-a2c8628cd407/CreateNewList
2022-07-05 22:39:50.060 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/5f165beb-49e2-4d61-aac6-b662c282d1d3/CreateNewList
2022-07-05 22:39:50.061 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/2b13b190-f551-4b0b-8f9c-610c0e8e3a2a/CreateNewList
2022-07-05 22:39:50.060 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/16988b92-27ba-4a3d-9717-a59f4ad7f956/CreateNewList
2022-07-05 22:39:50.061 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/c9d2966e-3e38-478d-87bb-8bfff7551b3b/CreateNewList
2022-07-05 22:39:51.041 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/6cfcd7a2-ff62-4930-a98d-0fee3c9563ba/CreateNewList
2022-07-05 22:39:51.041 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/3333b0d3-5f76-4412-864a-209dd1ab11ee/CreateNewList
2022-07-05 22:39:51.041 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/3c6c97b3-b2d1-4eb0-ab22-3000814839dd/CreateNewList
2022-07-05 22:39:51.041 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/5b112cf1-b4c1-4cec-a732-9ef5cdc82e7d/CreateNewList
2022-07-05 22:39:51.042 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/921388c7-5429-4d22-b8fe-d2e9037bfd81/CreateNewList
2022-07-05 22:39:52.047 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/3d5f4d08-617b-4e0a-a80c-5a7ec39b3b8c/CreateNewList
2022-07-05 22:39:52.047 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/ed35e366-d57a-4c3f-b721-f07ddcfa22ae/CreateNewList
2022-07-05 22:39:52.048 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/d8ed0b06-6394-43e6-8379-83577ffb201e/CreateNewList
2022-07-05 22:39:52.048 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/2fb3d7df-cfdf-49e0-9bf4-04c29c8c9168/CreateNewList
2022-07-05 22:39:52.048 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/a27d0065-4304-4d39-aa2c-69ae2bbb27a4/CreateNewList
2022-07-05 22:39:52.048 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/9f4fc0fd-29ca-431f-aa48-c5fad12ca70e/CreateNewList
2022-07-05 22:39:52.049 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/e970ef66-9206-48f3-9cb5-27c0dc114be5/CreateNewList
2022-07-05 22:39:52.049 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/212558a5-7c64-4206-81df-3ca433491c65/CreateNewList
2022-07-05 22:39:52.049 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/d6a8bbfd-7d7e-4998-acbe-427a1fdafc6f/CreateNewList
2022-07-05 22:39:52.049 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/9653ff4c-ac5b-4ba2-add8-47c6956b988e/CreateNewList
2022-07-05 22:39:53.040 +01:00 [DBG] [ThreadId:17] Creating new list: http://127.0.0.1:8081/ShoppingList/a82989ad-dc55-4c49-832b-9e7e36ddabed/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/4227d5fb-5d85-4e5f-ac1f-322764017a52/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/79ea04e7-c278-4beb-b928-dec056007daf/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/64341079-c4cd-468a-9fbf-fe4e60fd3641/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/77bd3a40-dc58-44d9-81e3-f22ff93baa71/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:18] Creating new list: http://127.0.0.1:8081/ShoppingList/089bb7c8-88b2-45cc-92d0-eafe2f48a69f/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:23] Creating new list: http://127.0.0.1:8081/ShoppingList/52c89822-82c5-481e-9622-1bf71a8a12be/CreateNewList
2022-07-05 22:39:53.041 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/fcece789-576b-48cc-b3a7-1c906e540e7d/CreateNewList
2022-07-05 22:39:53.042 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/8371dfb5-e24e-4f94-b8e3-dadab86fb82d/CreateNewList
2022-07-05 22:39:53.042 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/e724ac52-5d22-437a-b0df-2aa009fbc868/CreateNewList
2022-07-05 22:39:54.047 +01:00 [DBG] [ThreadId:25] Creating new list: http://127.0.0.1:8081/ShoppingList/98a6d01b-c802-49a8-8e1a-894091f7e63f/CreateNewList
2022-07-05 22:39:54.047 +01:00 [DBG] [ThreadId:21] Creating new list: http://127.0.0.1:8081/ShoppingList/a3529d68-2dc9-4660-a04c-bee73640b906/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:20] Creating new list: http://127.0.0.1:8081/ShoppingList/cc68c609-c424-4de6-8303-0c3c9ea0dda5/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:16] Creating new list: http://127.0.0.1:8081/ShoppingList/33f169b7-f768-4fdc-af5a-2fedc2e0a786/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/3b9e35fd-bf6f-45cd-89ec-9997fd0609d8/CreateNewList
2022-07-05 22:39:54.048 +01:00 [DBG] [ThreadId:27] Creating new list: http://127.0.0.1:8081/ShoppingList/2c9893d8-c69f-4c19-89c0-cb61f6be89ab/CreateNewList
