2022-07-05 22:45:32.862 +01:00 [INF] [ThreadId:1] NBomber '2.1.5' Started a new session: '2022-07-05_21.45.74_session_b03aef07'.
2022-07-05 22:45:32.976 +01:00 [INF] [ThreadId:1] NBomber started as single node.
2022-07-05 22:45:33.073 +01:00 [INF] [ThreadId:4] Plugins: no plugins were loaded.
2022-07-05 22:45:33.074 +01:00 [INF] [ThreadId:4] Reporting sinks: no reporting sinks were loaded.
2022-07-05 22:45:33.074 +01:00 [INF] [ThreadId:4] Starting init...
2022-07-05 22:45:33.097 +01:00 [INF] [ThreadId:4] Target scenarios: 'simple_http'.
2022-07-05 22:45:33.168 +01:00 [INF] [ThreadId:4] Start init client pool: 'nbomber_http_factory.simple_http'.
2022-07-05 22:45:34.187 +01:00 [INF] [ThreadId:4] Init finished.
2022-07-05 22:45:34.238 +01:00 [INF] [ThreadId:6] Starting warm up...
2022-07-05 22:45:35.380 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/05f726d2-7e1b-4fa1-be6b-f14305a6ca87/CreateNewList
2022-07-05 22:45:36.274 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/14ea1939-1ccc-4748-b1a5-b7b3cef43d20/CreateNewList
2022-07-05 22:45:37.271 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/a5e0502f-b04f-4aff-8d2c-e3c9cae2d568/CreateNewList
2022-07-05 22:45:38.293 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/179baed2-43c7-4345-9a45-a5d99e71eff7/CreateNewList
2022-07-05 22:45:39.275 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/c1f313fb-a480-4bdc-a650-af4d5640dc71/CreateNewList
2022-07-05 22:45:40.291 +01:00 [INF] [ThreadId:11] Starting bombing...
2022-07-05 22:45:41.305 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/3bb4b949-0497-418b-9df3-59f3f97fd9cb/CreateNewList
2022-07-05 22:45:42.315 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/e11c24c7-b3b6-43d6-ba16-d1d64171f7e1/CreateNewList
2022-07-05 22:45:43.308 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/26202537-db22-4f99-b47e-fe6353f7126d/CreateNewList
2022-07-05 22:45:44.313 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/c26cff2d-c112-4bf9-9755-2b65e222bc1e/CreateNewList
