2022-07-05 22:49:43.390 +01:00 [INF] [ThreadId:1] NBomber '2.1.5' Started a new session: '2022-07-05_21.49.27_session_35f11e2f'.
2022-07-05 22:49:43.508 +01:00 [INF] [ThreadId:1] NBomber started as single node.
2022-07-05 22:49:43.600 +01:00 [INF] [ThreadId:4] Plugins: no plugins were loaded.
2022-07-05 22:49:43.601 +01:00 [INF] [ThreadId:4] Reporting sinks: no reporting sinks were loaded.
2022-07-05 22:49:43.601 +01:00 [INF] [ThreadId:4] Starting init...
2022-07-05 22:49:43.620 +01:00 [INF] [ThreadId:4] Target scenarios: 'simple_http'.
2022-07-05 22:49:43.679 +01:00 [INF] [ThreadId:4] Start init client pool: 'nbomber_http_factory.simple_http'.
2022-07-05 22:49:44.692 +01:00 [INF] [ThreadId:4] Init finished.
2022-07-05 22:49:44.744 +01:00 [INF] [ThreadId:6] Starting warm up...
2022-07-05 22:49:45.900 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/fe16eab0-c880-448e-9fc8-c6234b2a9419/CreateNewList
2022-07-05 22:49:46.787 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/583b2c22-34bd-4cd1-82c5-e5d98608038c/CreateNewList
2022-07-05 22:49:47.797 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/562c9b9d-817a-4cfc-9faa-f917d7cdea9d/CreateNewList
2022-07-05 22:49:48.787 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/74556bc1-aa67-4d0a-9418-f3017c3f3279/CreateNewList
2022-07-05 22:49:49.793 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/70fc1e6c-c625-4966-867b-4d89ffb50529/CreateNewList
2022-07-05 22:49:50.794 +01:00 [INF] [ThreadId:4] Starting bombing...
2022-07-05 22:49:51.808 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/0f3838ad-92ad-4d20-87bf-a668085ec933/CreateNewList
2022-07-05 22:49:52.814 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/ca22a713-8de1-4fd6-ae14-23e75a20f106/CreateNewList
2022-07-05 22:49:53.805 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/fa1e201c-5a71-4c36-8e90-02b02a15fc09/CreateNewList
2022-07-05 22:49:54.814 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/6007f877-3b7c-45e6-a130-204bc497ecb9/CreateNewList
