2022-07-05 22:54:13.497 +01:00 [INF] [ThreadId:1] NBomber '2.1.5' Started a new session: '2022-07-05_21.54.38_session_7e0e2b1e'.
2022-07-05 22:54:13.618 +01:00 [INF] [ThreadId:1] NBomber started as single node.
2022-07-05 22:54:13.713 +01:00 [INF] [ThreadId:4] Plugins: no plugins were loaded.
2022-07-05 22:54:13.714 +01:00 [INF] [ThreadId:4] Reporting sinks: no reporting sinks were loaded.
2022-07-05 22:54:13.715 +01:00 [INF] [ThreadId:4] Starting init...
2022-07-05 22:54:13.733 +01:00 [INF] [ThreadId:4] Target scenarios: 'simple_http'.
2022-07-05 22:54:13.791 +01:00 [INF] [ThreadId:4] Start init client pool: 'nbomber_http_factory.simple_http'.
2022-07-05 22:54:14.812 +01:00 [INF] [ThreadId:4] Init finished.
2022-07-05 22:54:14.864 +01:00 [INF] [ThreadId:6] Starting warm up...
2022-07-05 22:54:16.017 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/f75944a2-b4ef-4892-b12d-d0d8d129b90e/CreateNewList
2022-07-05 22:54:16.901 +01:00 [DBG] [ThreadId:9] Creating new list: http://127.0.0.1:8081/ShoppingList/6cc574e4-e34f-4447-9eda-3afba66bbdce/CreateNewList
2022-07-05 22:54:17.896 +01:00 [DBG] [ThreadId:13] Creating new list: http://127.0.0.1:8081/ShoppingList/e1f607d3-1480-4a9e-a9a8-b07be1534325/CreateNewList
2022-07-05 22:54:18.902 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/3db1d3fc-2f5f-47cc-9474-f6536456bbc5/CreateNewList
2022-07-05 22:54:19.907 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/91d35f1e-3796-48cb-8c90-5be4b71fce79/CreateNewList
2022-07-05 22:54:20.910 +01:00 [INF] [ThreadId:6] Starting bombing...
2022-07-05 22:54:21.935 +01:00 [DBG] [ThreadId:6] Creating new list: http://127.0.0.1:8081/ShoppingList/9d00bdc5-fb8f-40d4-a22c-3e6055371550/CreateNewList
2022-07-05 22:54:22.926 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/dd151dd2-810e-4366-aaba-2f19c1ba92a4/CreateNewList
2022-07-05 22:54:23.934 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/f6c447b6-32bd-4852-8032-71a90305cbfc/CreateNewList
2022-07-05 22:54:24.924 +01:00 [DBG] [ThreadId:4] Creating new list: http://127.0.0.1:8081/ShoppingList/bed824e2-236c-48d2-a30b-c13766d12e6d/CreateNewList
